"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Talen Horton-Tucker","Uta","G","23.4","48","19.1","23.7","12.2","103","0.796","254","0.433","163","0.331","0.458","0.502","9.7","2.3","3.5","0.9","0.3","1.2","12","13.1","15.5","9","108.8","113.9"
"","Lonnie Walker IV","Bro","G-F","25.3","56","16.9","24.6","9.5","59","0.763","207","0.459","257","0.393","0.531","0.549","9.6","2.1","1.2","0.5","0.3","0.9","11.7","10.8","12.9","6.8","105.8","112.7"
"","Cameron Payne","Phi","G","29.7","28","19.5","22.9","12.2","23","0.913","119","0.437","126","0.381","0.506","0.527","9.6","1.7","3.1","0.6","0.3","1.2","11.3","12.7","14.4","7.6","108.7","111.1"
"","Georges Niang","Cle","F","30.8","79","22.3","17.7","10.4","58","0.862","231","0.576","379","0.372","0.565","0.581","9.4","3.4","1.2","0.4","0.2","0.9","12.8","10.6","14","6","108.8","105.6"
"","Isaac Okoro","Cle","F","23.2","66","27.4","14","10.4","126","0.683","259","0.571","206","0.388","0.576","0.598","9.4","3","1.9","0.8","0.5","0.8","12.4","11.3","14.3","5.5","119.9","110"
"","Bruce Brown","Tor","G-F","27.6","31","26.3","16.2","14","53","0.868","186","0.516","59","0.305","0.502","0.544","9.4","4","2.7","0.8","0.3","1.3","13.4","12.1","16.1","7.1","109.1","114.5"
"","Brandin Podziemski","Gol","G","21.1","70","26.7","15.5","13.1","78","0.628","347","0.496","224","0.379","0.525","0.535","9.3","5.8","3.8","0.8","0.2","1.2","15","13","18.8","8.8","116.4","111.6"
"","Chris Paul","Gol","G","38.9","54","26.4","15.4","14","52","0.827","235","0.498","194","0.381","0.531","0.552","9.2","3.9","6.8","1.2","0.1","1.3","13.1","16.1","19.9","9.5","125.2","110.8"
"","Andrew Nembhard","Ind","G-F","24.2","65","24.8","16.2","16.2","51","0.804","341","0.566","161","0.354","0.555","0.57","9.2","2.1","4","1","0.1","1.5","11.3","13.2","15.3","6.9","113","115.7"
"","Malaki Branham","San","F","20.9","73","21.2","19.8","12.9","63","0.873","351","0.496","256","0.352","0.509","0.53","9.2","1.9","2.1","0.4","0.1","1.2","11.2","11.3","13.3","6.3","101.4","117.3"
"","Jordan Goodwin","Mem","G","25.5","14","27.7","18.9","14.3","20","0.6","91","0.396","47","0.319","0.424","0.439","9.2","6.6","4.7","1.3","0.6","1.6","15.8","13.9","20.5","9.5","101.4","109.3"
"","Josh Hart","Nyk","G","29.1","77","33.1","13.5","14.8","108","0.778","390","0.497","248","0.306","0.483","0.511","9.1","8.2","4.1","0.9","0.3","1.4","17.3","13.2","21.3","8.1","113.2","107.9"
"","Jake LaRavia","Mem","F","22.4","32","21.3","20.6","12.2","89","0.809","124","0.419","128","0.297","0.433","0.498","9.1","3.5","1.5","0.8","0.3","1.1","12.6","10.5","14.1","6.8","104.2","109.4"
"","Amen Thompson","Hou","G-F","21.2","58","21.4","18.8","16.5","140","0.679","350","0.586","56","0.143","0.534","0.566","9.1","6.3","2.4","1.2","0.6","1.4","15.4","11.5","17.8","9.6","115.4","102.6"
"","Taurean Prince","Lal","F","30","75","27.3","13.7","11.2","66","0.727","207","0.527","345","0.397","0.57","0.583","9","3","1.6","0.7","0.5","0.9","12","10.6","13.6","5.1","108.5","111.9"
"","Duop Reath","Por","C","27.8","64","17.9","20.5","9.9","83","0.735","231","0.576","231","0.355","0.554","0.575","9","3.6","1","0.5","0.5","0.8","12.5","10","13.6","7.1","115.6","107"
"","Seth Curry","Cha","G","33.6","8","19.8","19.3","7.8","12","0.917","31","0.548","28","0.321","0.517","0.56","9","2","1.8","0.6","0.4","0.6","11","10.8","12.8","6.4","114.4","120.1"
"","Darius Bazley","Uta","F","23.8","2","31.9","11.9","26.1","7","0.714","8","0.625","3","0.333","0.591","0.639","9","5","1","1.5","1.5","2","14","10","15","4.5","108.6","121.9"
"","Kevin Love","Mia","F","35.6","51","17.2","21.4","11.7","106","0.783","105","0.657","227","0.339","0.556","0.597","8.9","6.2","2.2","0.3","0.2","0.9","15.1","11.1","17.3","11.5","121.9","100.3"
"","Payton Pritchard","Bos","G","26.2","78","21.9","16.6","8.9","52","0.808","214","0.575","356","0.382","0.574","0.587","8.9","3.2","3.2","0.5","0.1","0.7","12.1","12.1","15.3","8.2","127.4","110.2"
"","Simone Fontecchio","Uta","F","28.3","50","23.2","15.4","12.5","40","0.8","125","0.56","233","0.391","0.577","0.592","8.9","3.5","1.5","0.6","0.4","1","12.4","10.4","13.9","6.2","115.1","117.4"
"","Sam Hauser","Bos","F","26.3","75","21.7","14.6","5.8","17","0.882","75","0.6","430","0.428","0.636","0.641","8.8","3.4","1","0.5","0.3","0.4","12.2","9.7","13.2","5.7","127.3","109.2"
"","Jabari Walker","Por","F","21.7","69","23.5","16.3","11.6","163","0.761","352","0.526","134","0.284","0.498","0.545","8.8","6.9","1","0.6","0.3","0.9","15.7","9.8","16.7","6.7","113.3","108.4"
"","Ausar Thompson","Det","F","21.2","63","25.1","16.6","14.9","119","0.597","367","0.575","113","0.186","0.505","0.522","8.8","6.4","1.9","1.1","0.9","1.3","15.2","10.7","17.1","7.6","106.3","108.7"
"","Dereck Lively II","Dal","C","20.2","55","23.5","12.6","14.4","81","0.506","294","0.752","2","0","0.747","0.728","8.8","6.9","1.1","0.7","1.4","0.9","15.7","9.9","16.7","6.9","138.1","105.6"
"","Al Horford","Bos","C-F","37.8","64","26.9","12","10.1","30","0.867","161","0.658","255","0.416","0.637","0.648","8.7","6.4","2.6","0.6","0.9","0.7","15.1","11.3","17.7","7.8","134.3","108.3"
"","Draymond Green","Gol","F","34.1","53","26.8","15.5","26.1","72","0.75","243","0.551","122","0.377","0.556","0.58","8.7","7.2","5.9","1","0.8","2.4","15.8","14.5","21.7","10.7","114.2","104"
"","Derrick Jones Jr.","Dal","F","27.1","73","23.5","14.8","11.7","132","0.72","244","0.611","229","0.349","0.569","0.596","8.7","3.3","0.9","0.7","0.7","0.9","12","9.6","13","5","116.3","113.1"
"","Danilo Gallinari","Det","F","35.7","6","14.9","16","4.3","24","0.875","10","0.5","12","0.583","0.705","0.799","8.7","2.3","2","0.3","0.3","0.2","11","10.7","13","9.2","169.9","112.1"
"","Davis Bertans","Cha","F","31.4","25","20.8","17.4","7.1","17","0.882","27","0.481","156","0.378","0.555","0.572","8.7","1.8","1","0.9","0.3","0.6","10.6","9.7","11.6","4.8","111.4","115.8"
"","Terance Mann","Lac","G-F","27.5","71","25.3","13.5","8.8","91","0.824","266","0.62","198","0.343","0.575","0.604","8.6","3.3","1.6","0.6","0.2","0.6","11.9","10.2","13.5","5.6","125.3","112.9"
"","Dorian Finney-Smith","Bro","F","30.9","68","28.5","13.2","10.3","46","0.717","175","0.56","336","0.348","0.535","0.546","8.5","4.7","1.6","0.8","0.6","0.9","13.2","10.1","14.8","5.6","112.8","112.2"
"","Josh Green","Dal","G","23.4","54","26.6","13","13.8","55","0.673","178","0.584","177","0.401","0.593","0.604","8.5","3.2","2.3","0.8","0.2","1.1","11.7","10.8","14","6","117.6","112.4"
"","Andre Drummond","Chi","C","30.7","78","17.3","21.4","14.5","218","0.592","475","0.558","3","0","0.554","0.574","8.4","9.1","0.5","0.9","0.6","1","17.5","8.9","18","7.8","117.7","101"
"","Miles McBride","Nyk","G","23.6","65","19.5","16.5","6.3","50","0.86","180","0.506","254","0.421","0.579","0.599","8.4","1.5","1.6","0.8","0.1","0.4","9.9","10","11.5","5.6","127","109.1"
"","David Roddy","Mem","F","23","48","23.2","18.1","12.3","67","0.687","230","0.47","156","0.301","0.462","0.485","8.4","4.2","1.6","0.5","0.2","1.1","12.6","10","14.1","6.6","98.3","112.6"
"","Bilal Coulibaly","Was","G","19.7","63","27.2","14.2","16.8","131","0.702","247","0.502","185","0.346","0.509","0.543","8.4","4.1","1.7","0.9","0.8","1.4","12.5","10.2","14.3","5.7","102.6","115.7"
"","Kyle Lowry","Phi","G","38","21","28.8","12.3","17.7","31","0.839","44","0.523","86","0.407","0.581","0.616","8.4","2.8","4.6","0.9","0.3","1.3","11.2","13","15.8","6.6","123.9","111.7"
"","Isaiah Joe","Okc","G","24.8","74","18.8","16.7","8.4","52","0.865","127","0.559","340","0.421","0.611","0.629","8.3","2.3","1.3","0.6","0.3","0.6","10.6","9.6","11.9","6.2","121.7","113.1"
"","Kyle Lowry","Mia","G","38","37","28","13.4","17.7","42","0.833","81","0.506","161","0.385","0.554","0.582","8.2","3.5","4","1.1","0.4","1.4","11.6","12.2","15.6","6.9","115.8","106"
"","Ziaire Williams","Mem","F","22.6","51","20.3","19.8","14.9","75","0.827","189","0.487","189","0.307","0.474","0.511","8.2","3.5","1.5","0.7","0.2","1.3","11.8","9.7","13.2","6.9","98.5","109.3"
"","Moses Moody","Gol","G","21.9","62","17.7","18.4","9","85","0.8","209","0.555","193","0.358","0.546","0.577","8.2","3","0.8","0.6","0.4","0.6","11.2","9","12.1","6.1","116.8","110.9"
"","Kelly Olynyk","Uta","F-C","33","50","20.4","15.6","23.9","95","0.842","174","0.626","84","0.429","0.632","0.677","8.1","5.1","4.4","0.7","0.2","1.6","13.2","12.5","17.6","11.1","129.1","108"
"","Dante Exum","Dal","G","28.7","52","20","15.4","14","68","0.779","190","0.563","104","0.5","0.629","0.653","8.1","2.7","2.9","0.4","0.1","0.9","10.8","11","13.7","8","128.6","111.9"
"","Dario Saric","Gol","F-C","30","62","17.4","19.2","16.3","89","0.854","187","0.556","194","0.376","0.56","0.599","8.1","4.5","2.3","0.5","0.1","1.2","12.6","10.4","14.9","10.1","118.7","106.5"
"","Grant Williams","Dal","F","25.4","47","26.4","13.6","14.3","55","0.745","107","0.486","210","0.376","0.538","0.56","8.1","3.6","1.7","0.5","0.6","1.1","11.7","9.9","13.4","5.6","110.1","108.9"
"","Walker Kessler","Uta","C","22.7","64","23.3","12.8","15.9","93","0.602","331","0.68","19","0.211","0.66","0.663","8.1","7.5","0.9","0.5","2.4","1","15.6","9","16.5","6.5","125.2","112.6"
"","Gradey Dick","Tor","G","20.4","57","20.6","17.2","10.4","47","0.872","188","0.495","217","0.364","0.522","0.545","8.1","2.2","1.2","0.6","0","0.8","10.3","9.3","11.5","5.4","105.3","116.2"
"","Derrick Rose","Mem","G","35.5","24","16.6","22.4","15.8","27","0.889","124","0.492","41","0.366","0.506","0.54","8","1.9","3.3","0.3","0.1","1.3","9.8","11.2","13.1","8.9","108.6","114.9"
"","Sam Merrill","Cle","G","27.9","61","17.5","17.5","4.6","28","0.929","39","0.385","354","0.404","0.584","0.598","8","2","1.8","0.3","0.1","0.3","9.9","9.7","11.7","7","124.7","111.3"
"","Royce O'Neale","Pho","F","30.8","26","24.7","13.9","9.9","9","0.667","50","0.5","132","0.386","0.558","0.562","8","5.1","2.6","0.8","0.5","0.8","13.2","10.7","15.8","7.7","118.6","109.9"
"","Trayce Jackson-Davis","Gol","F","24.1","64","16.2","16.6","12.6","119","0.563","311","0.704","1","0","0.702","0.693","7.9","4.9","1.2","0.4","1.1","0.7","12.8","9.1","14","8.9","134.5","107"
"","Jordan Hawkins","Nor","G","21.9","66","17.5","19.8","7.9","80","0.838","157","0.414","297","0.367","0.503","0.536","7.9","2.2","1.1","0.3","0.1","0.6","10.2","9","11.2","6.1","109.3","111.8"
"","Markelle Fultz","Orl","G","25.9","39","21.4","18.7","13.1","31","0.677","282","0.482","16","0.25","0.477","0.489","7.8","3.3","2.9","1","0.3","1.2","11.1","10.7","14","7.9","106.4","107.1"
"","Nickeil Alexander-Walker","Min","F","25.6","78","23.5","14.4","12.6","61","0.803","186","0.522","314","0.392","0.563","0.581","7.8","2.1","2.5","0.8","0.5","0.9","9.9","10.3","12.4","5.9","115.7","106.3"
"","Precious Achiuwa","Nyk","F","24.6","46","24.9","13.9","15","70","0.643","240","0.583","48","0.25","0.549","0.566","7.8","7.3","1.1","0.7","1.2","1.1","15.2","9","16.3","6.4","116.9","105.6"
"","Jordan Nwora","Tor","F","25.6","30","15.6","22.3","15.8","38","0.868","107","0.561","84","0.321","0.526","0.563","7.8","3.2","1.3","0.6","0.3","1.2","11","9.1","12.3","8.2","103.5","114.3"
"","Isaiah Hartenstein","Nyk","C-F","25.9","72","25.1","11.8","19.8","148","0.723","342","0.646","3","0.333","0.645","0.673","7.7","8.3","2.4","1.2","1.1","1.2","15.9","10.1","18.3","8.5","133.9","100.7"
"","Precious Achiuwa","Tor","F","24.6","25","17.5","21.3","14.6","42","0.571","123","0.528","47","0.277","0.497","0.512","7.7","5.4","1.8","0.6","0.5","1.2","13.2","9.5","14.9","9.6","105.9","110"
"","Marcus Sasser","Det","G","23.5","67","18.3","19.3","14.7","57","0.86","241","0.469","213","0.376","0.513","0.537","7.7","1.7","3.2","0.6","0.1","1.2","9.4","10.9","12.6","7.6","108.6","114.9"
"","Malachi Flynn","Det","G","25.9","20","13.5","26.1","13.9","33","0.697","66","0.515","64","0.328","0.504","0.533","7.7","2","1.9","0.7","0.1","1.1","9.7","9.6","11.6","9.1","105","114.3"
"","Cody Martin","Cha","F","28.5","28","26.9","16","17","33","0.606","129","0.426","86","0.314","0.444","0.46","7.5","3.9","3.7","1.1","0.6","1.6","11.4","11.3","15.1","7.1","96.6","116"
"","Toumani Camara","Por","F","23.9","70","24.8","13.9","16.1","99","0.758","266","0.523","172","0.337","0.516","0.547","7.5","4.9","1.2","0.9","0.5","1.2","12.4","8.8","13.7","5.7","109.1","110.7"
"","Trey Lyles","Sac","F","28.4","54","20.2","14.5","10.6","68","0.691","98","0.602","206","0.383","0.584","0.602","7.4","4.4","1.2","0.3","0.3","0.7","11.9","8.7","13.1","6.7","120.2","111.3"
"","Royce O'Neale","Bro","F","30.8","49","24.5","13.9","13.6","22","0.682","60","0.483","265","0.366","0.537","0.544","7.4","4.5","2.8","0.7","0.6","1","11.9","10.2","14.7","7.4","112","108.5"
"","Trey Jemison","Mem","C","24.4","19","22.8","14.3","21.6","23","0.826","105","0.581","0","0","0.581","0.612","7.4","5.3","1","0.4","1.1","1.5","12.7","8.4","13.7","6","112.3","106.3"
"","Aleksej Pokusevski","Cha","F","22.3","14","19.2","17.2","13","29","0.793","46","0.522","34","0.324","0.506","0.561","7.4","4.2","1.7","0.9","0.6","0.9","11.6","9.1","13.4","7.8","114.4","117.1"
"","Quentin Grimes","Nyk","G","23.9","45","20.2","15.2","6.8","34","0.706","74","0.486","212","0.363","0.53","0.543","7.3","2","1.2","0.7","0.1","0.5","9.2","8.4","10.4","5.1","115.2","109.7"
"","Paul Reed","Phi","F","24.8","79","19.4","15.8","12.4","82","0.732","402","0.56","56","0.375","0.56","0.58","7.3","5.9","1.3","0.8","1","0.8","13.2","8.6","14.5","7.9","121.4","102.7"
"","Taylor Hendricks","Uta","F","20.4","36","20.9","14.2","10.7","27","0.778","88","0.545","129","0.372","0.553","0.57","7.3","4.5","0.7","0.6","0.8","0.7","11.8","7.9","12.4","5.4","112.8","112.8"
"","Tristan Vukcevic","Was","F","21.1","9","14.6","22.1","11.1","13","0.769","27","0.593","29","0.276","0.5","0.535","7.3","3.9","1.3","0.4","0.7","0.8","11.2","8.7","12.6","9.1","106.1","101.6"
"","Kevin Knox II","Det","F","24.7","31","18.1","16.5","10.6","22","0.909","92","0.598","94","0.33","0.546","0.57","7.2","2.4","0.7","0.4","0.2","0.7","9.6","7.9","10.4","5.1","109.2","114.2"
"","Gary Harris","Orl","G","29.6","51","23.7","12","9.3","45","0.756","88","0.625","194","0.371","0.578","0.596","7.1","1.7","1.6","0.9","0.3","0.6","8.7","8.7","10.4","4.5","121.3","108.9"
"","Landry Shamet","Was","G","27.1","46","15.8","18.8","9.9","46","0.826","117","0.556","157","0.338","0.527","0.556","7.1","1.3","1.2","0.5","0.2","0.7","8.5","8.3","9.6","5.6","107.7","114.6"
"","Naji Marshall","Nor","F","26.2","65","19.3","16.2","14.9","86","0.791","216","0.514","150","0.387","0.541","0.574","7.1","3.7","2","0.8","0.2","1","10.8","9.1","12.8","7.8","114.5","107.9"
"","Jose Alvarado","Nor","G","26","52","17.9","17.7","10.6","50","0.68","133","0.451","186","0.382","0.522","0.538","7.1","2.3","2.1","1.1","0.3","0.7","9.3","9.1","11.4","7.3","111.9","106.4"
"","Jaden Hardy","Dal","G","21.8","69","13.3","24.5","10.3","68","0.779","230","0.448","214","0.364","0.495","0.52","7.1","1.7","1.5","0.3","0.1","0.7","8.8","8.6","10.3","7.9","104.8","112.1"
"","Nikola Jovic","Mia","F","20.8","42","18.8","16.7","14.1","45","0.689","101","0.505","137","0.401","0.561","0.578","7.1","4.1","2","0.5","0.3","0.9","11.2","9","13.1","8.2","112.3","103.9"
"","Christian Braun","Den","G","23","78","19.9","15.6","10.4","125","0.696","300","0.493","149","0.376","0.517","0.547","7.1","3.7","1.5","0.5","0.4","0.7","10.7","8.6","12.2","6.8","114.2","108.5"
"","Richaun Holmes","Was","F","30.5","17","18.7","14.8","12","26","0.846","85","0.565","3","0.333","0.563","0.608","7.1","6.1","0.6","0.5","0.6","0.7","13.2","7.7","13.8","6.3","123.4","108.1"
"","Danilo Gallinari","Was","F","35.7","26","14.8","18.3","8.4","56","0.839","67","0.552","64","0.313","0.511","0.581","7","2.9","1.2","0.2","0.1","0.5","9.9","8.2","11.1","7.8","119","116.5"
"","Keon Johnson","Bro","G","22.1","4","12.8","23.2","17.1","10","1","10","0.3","9","0.444","0.474","0.598","7","1.3","0.8","0.8","0.3","1","8.3","7.8","9","6.1","114.9","112.4"
"","Tosan Evbuomwan","Det","F","23.1","13","22.5","10.9","12.4","25","0.68","32","0.688","24","0.417","0.661","0.679","7","3.5","0.8","0.5","0.3","0.6","10.5","7.8","11.3","4.8","128","116.9"
"","Kenneth Lofton Jr.","Uta","F","21.7","1","12","24.4","0","0","0","5","0.4","2","0.5","0.5","0.5","7","1","0","0","0","0","8","7","8","0","107.6","129.7"
"","Christian Wood","Lal","F","28.5","50","17.4","17.6","15.9","94","0.702","150","0.587","114","0.307","0.532","0.568","6.9","5.1","1","0.3","0.7","1","12","7.9","13","7.5","106.6","107.1"
"","James Wiseman","Det","C","23","59","16.6","16.3","19.1","87","0.701","269","0.639","2","0","0.635","0.655","6.9","5","0.8","0.2","0.6","1.1","11.9","7.7","12.7","7.3","118.1","106.9"
"","Killian Hayes","Det","G","22.7","42","24","15","15.3","50","0.66","209","0.455","74","0.297","0.452","0.474","6.9","2.8","4.9","0.9","0.5","1.2","9.7","11.8","14.6","7.6","106.5","114.9"
"","Cason Wallace","Okc","G","20.4","78","20.7","13","9.6","37","0.784","199","0.583","222","0.419","0.607","0.617","6.9","2.3","1.4","0.9","0.4","0.6","9.2","8.4","10.6","5.4","122.4","110.8"
"","Maozinha Pereira","Mem","F","23.6","7","17.4","15.7","12.4","10","0.7","22","0.591","13","0.385","0.586","0.609","6.9","5.3","0.3","0.9","0.6","0.7","12.1","7.1","12.4","5.1","116.2","106.1"
"","Cedi Osman","San","F","29","72","17.6","15.1","10.9","52","0.673","163","0.601","221","0.389","0.591","0.601","6.8","2.5","1.7","0.5","0.2","0.7","9.3","8.4","10.9","7","115.6","112.6"
"","Jonathan Isaac","Orl","F","26.5","54","15.3","16.9","8.8","79","0.722","160","0.606","100","0.39","0.598","0.624","6.8","4.3","0.5","0.7","1.2","0.5","11.1","7.3","11.6","6.4","125.6","104.3"
"","Robert Williams III","Por","C-F","26.5","6","19.8","13.3","21","9","0.778","26","0.654","0","0","0.654","0.684","6.8","6.3","0.8","1.2","1.2","1.2","13.2","7.7","14","6.6","121","101.1"
"","Johnny Juzang","Uta","G","23.1","16","17.1","14.7","8.5","6","0.667","23","0.652","63","0.397","0.61","0.615","6.8","1.9","0.9","0.1","0.1","0.5","8.8","7.8","9.7","5.3","120.4","118"
"","Day'Ron Sharpe","Bro","C","22.4","60","15.2","19.5","19.1","123","0.61","273","0.59","15","0.267","0.58","0.598","6.8","6.4","1.4","0.4","0.7","1.1","13.2","8.2","14.6","10.4","119.1","100.9"
"","Brice Sensabaugh","Uta","F","20.4","28","17.5","19.6","19.4","30","0.867","81","0.519","93","0.29","0.474","0.51","6.8","3","1.8","0.4","0.1","1.5","9.9","8.6","11.6","7.6","96.6","116.1"
"","Shake Milton","Det","G-F","27.5","4","15.8","20.5","10.2","3","0.667","17","0.471","9","0.333","0.481","0.494","6.8","4.5","1.5","0.5","0.3","0.8","11.3","8.3","12.8","9.1","107.5","116.4"
"","Spencer Dinwiddie","Lal","G","31","25","24.9","12.2","17.3","44","0.864","47","0.404","82","0.378","0.508","0.57","6.8","1.6","2.6","0.5","0.5","1.1","8.4","9.4","11","4.9","111.3","112.6"
"","Marcus Morris Sr.","Phi","F","34.6","37","17.2","16.3","8.5","36","0.861","115","0.47","90","0.4","0.527","0.559","6.7","2.9","0.7","0.4","0.3","0.5","9.6","7.4","10.3","5.6","112.2","108.6"
"","Aaron Wiggins","Okc","G","25.3","74","15.5","16.2","13.5","63","0.794","228","0.601","119","0.479","0.641","0.66","6.7","2.3","1.1","0.7","0.2","0.7","9","7.7","10.1","6.6","123.8","110.3"
"","Peyton Watson","Den","G","21.6","76","18.4","16.4","11.5","102","0.676","275","0.556","149","0.295","0.517","0.541","6.7","3.1","1","0.5","1","0.7","9.8","7.7","10.8","6","107.8","106.9"
"","Ochai Agbaji","Tor","G","24","23","22.5","16","13.8","30","0.567","95","0.505","61","0.23","0.442","0.458","6.7","3.4","1.3","0.7","0.4","1.1","10.2","8","11.5","5.5","95.3","114.4"
"","Jahmi'us Ramsey","Tor","G","22.8","7","17.3","17.9","14.5","6","0.833","19","0.632","22","0.273","0.512","0.538","6.7","3.1","1.1","1","0","1","9.9","7.9","11","6.6","101.5","111.2"
"","Kyle Anderson","Min","F-G","30.5","75","22.8","14.6","17.4","131","0.718","371","0.499","47","0.234","0.482","0.522","6.6","3.6","4.3","0.9","0.6","1.2","10.2","10.9","14.5","8.2","115.7","105"
"","Dennis Smith Jr.","Bro","G","26.4","56","18.9","17.6","16.7","58","0.741","229","0.502","109","0.294","0.482","0.508","6.6","2.9","3.6","1.2","0.2","1.2","9.5","10.2","13.1","8.7","110.1","106"
"","Trendon Watford","Bro","F","23.4","60","12.8","21.2","16.3","82","0.829","221","0.57","62","0.403","0.578","0.619","6.6","2.8","1.1","0.4","0.3","0.9","9.4","7.7","10.5","8.5","116.2","105.1"
"","Julian Champagnie","San","F","22.8","70","19.3","14.1","11.7","80","0.813","113","0.487","256","0.367","0.531","0.565","6.5","2.7","1.3","0.6","0.6","0.7","9.3","7.9","10.6","5.9","111.2","115.8"
"","Alec Burks","Nyk","G","32.7","22","13.6","27","8.6","31","0.71","78","0.321","81","0.296","0.384","0.417","6.5","1.8","0.7","0.3","0","0.7","8.3","7.3","9","5.9","90.4","113.9"
"","Evan Fournier","Det","G-F","31.4","25","17.7","18.2","9.5","27","0.815","64","0.469","97","0.278","0.438","0.471","6.5","1.8","1.6","0.9","0.2","0.7","8.3","8.1","9.9","6","98.8","113.2"
"","Jeff Green","Hou","F","37.6","74","16.8","15.4","11.4","143","0.811","196","0.551","147","0.327","0.525","0.586","6.4","2.2","0.9","0.2","0.4","0.6","8.7","7.3","9.5","5.6","117.8","111.4"
"","Chris Boucher","Tor","F-C","31.2","50","14.1","17.3","11.4","92","0.772","123","0.642","94","0.33","0.578","0.625","6.4","4.1","0.5","0.3","0.5","0.6","10.6","6.9","11","6.7","122.9","110.2"
"","Aaron Holiday","Hou","G","27.5","75","16.2","16.3","11.3","58","0.931","185","0.497","206","0.393","0.546","0.577","6.4","1.6","1.8","0.5","0.1","0.7","8","8.2","9.8","6.5","117","108.5"
"","Isaiah Jackson","Ind","F","22.2","59","12.8","17.5","14.5","102","0.716","226","0.677","4","0","0.665","0.689","6.4","3.9","0.8","0.6","1","0.7","10.3","7.2","11.2","8.5","133.2","100.9"
"","Patrick Beverley","Phi","G","35.7","47","19.6","14.9","16.9","63","0.81","132","0.523","109","0.321","0.504","0.547","6.3","3.1","3.1","0.5","0.4","1","9.3","9.3","12.4","8","114.7","109.4"
"","Skylar Mays","Por","G","26.6","21","17","19.6","11.5","17","0.765","89","0.438","49","0.286","0.435","0.457","6.3","1.8","3.6","0.7","0.1","0.9","8.1","9.9","11.7","8.1","106.8","116.8"
"","Patty Mills","Mia","G","35.7","11","17.7","19.5","9.8","9","1","26","0.577","47","0.213","0.411","0.448","6.3","1.3","1.7","1","0","0.7","7.5","8","9.3","5.4","95.9","108.7"
"","Cameron Payne","Mil","G","29.7","47","14.9","16.7","12.2","44","0.841","91","0.538","131","0.397","0.572","0.603","6.2","1.3","2.3","0.5","0.1","0.7","7.5","8.5","9.8","7.1","122.2","109.4"
"","Vit Krejci","Atl","G","23.8","18","24.8","8.8","14.1","6","0.833","26","0.654","53","0.453","0.671","0.68","6.2","2.2","2.2","0.5","0.3","0.7","8.3","8.4","10.6","5","131.2","115.5"
"","Jae Crowder","Mil","F","33.8","47","22.9","11.2","7.5","31","0.71","96","0.563","151","0.351","0.54","0.554","6.1","3.2","1.4","0.8","0.2","0.4","9.3","7.5","10.7","5.3","116.3","112.4"
"","Ben Simmons","Bro","G","27.7","15","23.9","13","26.7","15","0.4","74","0.581","0","0","0.581","0.571","6.1","7.9","5.7","0.8","0.6","1.8","14.1","11.9","19.8","10.9","120.3","105.3"
"","Daniel Theis","Lac","F-C","32","56","16.8","15.1","12.2","46","0.739","205","0.576","61","0.393","0.579","0.597","6.1","4","1.1","0.3","0.8","0.7","10.1","7.2","11.1","7.1","122","105.1"
"","Haywood Highsmith","Mia","F","27.3","62","20.3","12.4","8.9","33","0.697","128","0.547","178","0.399","0.577","0.587","6.1","3","1","0.8","0.5","0.5","9.1","7.1","10.2","5.2","118.7","106.2"
"","Amir Coffey","Lac","G-F","26.8","66","20","11.8","9.7","61","0.869","142","0.585","154","0.403","0.595","0.627","6.1","2","1.1","0.6","0.2","0.5","8.1","7.2","9.2","4.8","124.5","113.8"
"","Javon Freeman-Liberty","Tor","G","24.5","18","16.6","18","16.6","26","0.885","65","0.523","30","0.2","0.453","0.512","6.1","3.1","1.6","0.4","0.1","1.1","9.2","7.7","10.8","7.5","101.6","113.5"
"","Doug McDermott","San","F","32.3","46","15.2","14.8","10","17","0.588","42","0.452","173","0.439","0.619","0.62","6","1","1.2","0.2","0","0.5","7","7.2","8.3","5.1","116.1","116.8"
"","Xavier Tillman","Mem","C","25.2","34","20.6","16","12","43","0.419","160","0.469","53","0.226","0.437","0.44","6","4.6","1.7","1.2","1","0.9","10.6","7.7","12.3","7","97.8","107.1"
"","Justin Champagnie","Was","G-F","22.8","13","15.2","16.9","13.6","14","0.786","23","0.609","40","0.325","0.532","0.564","6","3.2","1.2","0.6","0.5","0.8","9.2","7.2","10.5","7.5","113.5","116.4"
"","Torrey Craig","Chi","F","33.3","49","19.9","12.7","11.3","33","0.758","89","0.506","147","0.381","0.547","0.565","5.8","3.9","1.1","0.6","0.4","0.6","9.7","6.9","10.8","5.9","117.4","108.8"
"","Bruno Fernando","Atl","F-C","25.6","41","14.5","16.6","19.1","75","0.653","161","0.59","4","0","0.576","0.604","5.8","4.3","1","0.6","0.7","1","10.1","6.9","11.2","8.1","116.1","103.3"
"","Matt Ryan","Nor","F","27","26","14.8","15.6","14.3","14","0.929","22","0.364","91","0.451","0.615","0.638","5.8","1.5","0.7","0.2","0","0.7","7.3","6.5","8","4.9","113.3","110.3"
"","Dyson Daniels","Nor","G","21.1","57","22.1","12.7","15.9","52","0.635","166","0.548","125","0.312","0.514","0.529","5.8","3.8","2.6","1.4","0.4","1","9.6","8.5","12.2","7","112.6","106.5"
